,EventName,RoundNumber,eventYear,Team,Compound,Driver,Stint,bestPreRaceTime,bestLapTimeIsFrom,meanAirTemp,meanTrackTemp,meanHumid,Rainfall,GridPosition,Position,raceStintsNums,TyreAge,lapNumberAtBeginingOfStint,StintLen,CircuitLength,designedLaps,fuel_slope,fuel_bias,deg_slope,deg_bias,lag_slope_mean,lag_bias_mean
3830,Spanish Grand Prix,4,2021,Alfa Romeo Racing,MEDIUM,GIO,2.0,78.356,Qualifying,22.37096774193548,32.725806451612904,57.10322580645161,0.0,14.0,15.0,2.0,4.0,9.0,31.0,4.655,66,-0.07319464428457177,86.00014268585133,0.03655391304347602,84.75917913043487,,
3831,Spanish Grand Prix,4,2021,Alfa Romeo Racing,MEDIUM,RAI,1.0,78.917,Qualifying,22.2027027027027,32.41621621621622,57.29729729729728,0.0,17.0,12.0,1.0,1.0,1.0,37.0,4.655,66,-0.06764864864864939,85.91127927927924,-0.018851493690905913,85.73996937124772,,
3832,Spanish Grand Prix,4,2021,Alfa Romeo Racing,SOFT,GIO,1.0,78.356,Qualifying,21.700000000000003,31.4375,58.0375,0.0,14.0,15.0,1.0,1.0,1.0,8.0,4.655,66,-0.07319464428457177,86.00014268585133,,,,
3833,Spanish Grand Prix,4,2021,Alfa Romeo Racing,SOFT,GIO,3.0,78.356,Qualifying,22.676923076923075,34.21923076923077,58.48846153846154,0.0,14.0,15.0,3.0,4.0,40.0,26.0,4.655,66,-0.07319464428457177,86.00014268585133,0.03394415584415622,81.68819783549777,,
3834,Spanish Grand Prix,4,2021,Alfa Romeo Racing,SOFT,RAI,2.0,78.917,Qualifying,22.65357142857144,34.13928571428571,58.33928571428572,0.0,17.0,12.0,2.0,1.0,38.0,28.0,4.655,66,-0.06764864864864939,85.91127927927924,0.013556868764390278,82.88803683806599,,
3835,Spanish Grand Prix,4,2021,AlphaTauri,MEDIUM,GAS,2.0,77.982,Qualifying,22.47586206896551,32.88965517241379,57.60344827586208,0.0,12.0,10.0,2.0,1.0,19.0,29.0,4.655,66,-0.07177731673582437,85.64228492392809,-0.03145232419547134,85.28263528009535,,
3836,Spanish Grand Prix,4,2021,AlphaTauri,SOFT,GAS,1.0,77.982,Qualifying,21.89444444444445,31.811111111111117,57.43333333333333,0.0,12.0,10.0,1.0,1.0,1.0,18.0,4.655,66,-0.07177731673582437,85.64228492392809,0.048231884057973774,85.06854710144925,,
3837,Spanish Grand Prix,4,2021,AlphaTauri,SOFT,GAS,3.0,77.982,Qualifying,22.79444444444444,34.93888888888889,58.19444444444444,0.0,12.0,10.0,3.0,1.0,48.0,18.0,4.655,66,-0.07177731673582437,85.64228492392809,0.2879338345864646,67.14371127819557,,
3838,Spanish Grand Prix,4,2021,AlphaTauri,SOFT,TSU,1.0,78.556,Qualifying,21.7,31.616666666666664,58.01666666666667,0.0,16.0,20.0,1.0,1.0,1.0,6.0,4.655,66,,,,,,
3839,Spanish Grand Prix,4,2021,Alpine,MEDIUM,ALO,2.0,77.966,Qualifying,22.5525,33.57,57.96500000000001,0.0,10.0,17.0,2.0,1.0,22.0,40.0,4.655,66,,,0.017720922459893384,83.78065430035649,,
